Date,Callouts,Volume
1/11/2021,9,14927600
1/12/2021,3,7060700
1/13/2021,90,144501700
1/14/2021,60,93717400
1/15/2021,30,46866400
1/19/2021,48,74721900
1/20/2021,21,33471800
1/21/2021,36,57079800
1/22/2021,123,197157900
1/25/2021,111,177874000
1/26/2021,111,178588000
1/27/2021,60,93396700
1/28/2021,36,58815800
1/29/2021,33,50259200
2/1/2021,24,37382200
2/2/2021,48,78183100
2/3/2021,27,42698500
2/4/2021,39,62427300
2/5/2021,51,80886300
2/8/2021,15,25687300
2/9/2021,18,197157900
2/10/2021,24,177874000
2/11/2021,9,178588000
2/12/2021,9,197157900
2/16/2021,6,177874000
2/17/2021,6,178588000
2/18/2021,15,197157900
2/19/2021,9,177874000
2/22/2021,12,178588000
2/23/2021,6,197157900
2/24/2021,51,177874000
2/25/2021,96,178588000
2/26/2021,57,197157900
3/1/2021,30,177874000
3/2/2021,21,178588000
3/3/2021,12,197157900
3/4/2021,21,177874000
3/5/2021,18,178588000
3/8/2021,39,197157900
3/9/2021,24,177874000
3/10/2021,45,178588000
3/11/2021,18,197157900
3/12/2021,15,177874000
3/15/2021,15,178588000
3/16/2021,21,197157900
3/17/2021,9,177874000
3/18/2021,6,178588000
3/19/2021,15,197157900
3/22/2021,6,177874000
3/23/2021,9,178588000
3/24/2021,15,197157900
3/25/2021,33,177874000
3/26/2021,24,178588000
3/29/2021,6,197157900
3/30/2021,12,177874000
3/31/2021,6,178588000
4/1/2021,6,197157900
4/5/2021,9,177874000
4/6/2021,3,178588000
4/7/2021,3,197157900
4/8/2021,6,177874000
4/9/2021,6,178588000
4/12/2021,9,197157900
4/13/2021,3,177874000
4/14/2021,12,178588000
4/15/2021,6,197157900
